Organization Name,Organization Name URL,Industries,Headquarters Location,Description,CB Rank (Company),Industry Groups,Number of Employees,Funding Status,Founders,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Closed Date,Closed Date Precision,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Full Description,Headquarters Regions,Postal Code,Estimated Revenue Range,Operating Status,Company Type,Hub Tags,Actively Hiring,Investor Type,Investment Stage,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Number of Portfolio Organizations,School Type,School Program,Number of Enrollments,School Method,Number of Alumni,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Number of Funding Rounds,Top 5 Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,IPO Status,IPO Date,Delisted Date,Delisted Date Precision,Money Raised at IPO,Money Raised at IPO Currency,Money Raised at IPO (in USD),Valuation at IPO,Valuation at IPO Currency,Valuation at IPO (in USD),Stock Symbol,Stock Symbol URL,Stock Exchange,CB Rank (Organization),Similar Companies,Contact Job Departments,Total Products Active,Stage
Elevarm,https://www.crunchbase.com/organization/elevarm,"Agriculture, AgTech, Farming","Bandung, Jawa Barat, Indonesia",Elevarm is an upstream-focused agritech company that enhances agricultural productivity by supporting smallholder farmers.,"6,592",Agriculture and Farming,101-250,Seed,"Bayu Syerli, Febi Agil Ifdillah, Lintang Kusuma Pratiwi",2022-02-22,day,,,,,https://www.elevarm.com,,,https://www.linkedin.com/company/elevarm,hello@elevarm.com,,"Elevarm is an upstream-focused agritech company that enhances agricultural productivity by supporting smallholder farmers. Elevarm specializes in the horticultural production and supply of premium agricultural inputs, including top-tier seeds, biofertilizers, and eco-friendly pest management solutions. By improving access to these products, Elevarm assists smallholder farmers in boosting their yields and earnings.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",40135,,Active,For Profit,,,,,,,,,,,,,,,,2025-03-13,70000000000.0,IDR,4264019.0,Seed,70000000000.0,IDR,4264019.0,Seed,127700000000.0,IDR,7835397.0,127700000000.0,IDR,7835397.0,5.0,"Rabobank, 500 Global, Intudo Ventures, Insignia Ventures Partners, Amartha",2.0,10.0,,,Private,,,,,,,,,,,,,"7,653",13.0,"Engineering, Finance, Management, Operations, Product, Sales",,
Qoala,https://www.crunchbase.com/organization/qoala,"Blockchain, Financial Services, FinTech, Insurance, InsurTech","Jakarta, Jakarta Raya, Indonesia",Qoala is an omnichannel insur-tech company that aims to make insurance universally accessible and easy to use.,"6,720","Blockchain and Cryptocurrency, Financial Services, Other",251-500,Late Stage Venture,"Harshet Lunani, Tommy Martin",2018-01-01,year,,,,,https://www.qoala.app,https://x.com/qoalaid,https://www.facebook.com/qoalaapp,https://www.linkedin.com/company/qoala,cs@qoala.id,+62 822-1033-3220,"Qoala is a disruptive InsureTech company that leverages big data, machine learning, IoT, and blockchain aiming to revolutionize the insurance landscape in Indonesia. Qoala partners with big companies, including e-commerce and travel platforms, to enhance their customer experience through unique and innovative insurance products.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12930,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2024-03-26,713300000000.0,IDR,45044827.0,Series C,713300000000.0,IDR,45044827.0,Series C,134044827.0,USD,134044827.0,134044827.0,USD,134044827.0,6.0,"Sequoia Capital, Flourish Ventures, Peak XV Partners, AppWorks, MassMutual Ventures",8.0,28.0,1.0,Made Acquisitions,Private,,,,,,,,,,,,,"7,796",10.0,"Finance, Human Resources",14.0,
Xurya,https://www.crunchbase.com/organization/xurya,"Environmental Consulting, Environmental Engineering, Peer to Peer, Renewable Energy, Solar","Jakarta, Jakarta Raya, Indonesia",Pioneer in the solar lease business. Giving Indonesian businesses a chance to contribute to the solution climate change while saving money,"8,042","Energy, Natural Resources, Other, Professional Services, Science and Engineering, Sustainability",51-100,,"Edwin Widjonarko, Eka Himawan",2018-09-01,day,,,,,https://www.xurya.com/,,https://www.facebook.com/energixurya,https://www.linkedin.com/company/xurya,contact@xurya.com,,Xurya is a renewable energy platform in providing commercial and industrial rooftop owners access to solar lease product on one side. And investors access to a stable and safe investment in rooftop solar plants on the other side. Both are achieved by maintenance service which enables both parties peace of mind.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2024-07-01,900000000000.0,IDR,54895371.0,Venture - Series Unknown,900000000000.0,IDR,54895371.0,Venture - Series Unknown,87895371.0,USD,87895371.0,87895371.0,USD,87895371.0,7.0,"East Ventures, Schneider Electric, Clime Capital, AC Ventures, British International Investment",5.0,14.0,,,Private,,,,,,,,,,,,,"9,274",5.0,"Legal, Marketing",,
Ula,https://www.crunchbase.com/organization/ula,"Apps, B2B, E-Commerce, Marketplace","Jakarta, Jakarta Raya, Indonesia",Ula is a wholesale e-commerce marketplace that provides working capital and inventory sourcing for small business owners,"8,278","Apps, Commerce and Shopping, Other, Software",251-500,Early Stage Venture,"Alan Wong, Derry Sakti, Riky Tenggara",2020-01-01,year,,,,,https://ula.app/,https://twitter.com/UlaApp_ID,https://www.facebook.com/uladotapp/,https://www.linkedin.com/company/uladotapp/,hello@ula.app,62 878-0004-1101,"Ula is an Indonesia-focused marketplace app that uses technology to modernize distribution and credit in traditional retail. Its B2B marketplace provides small retailers competitive pricing, wide and accessible variety and favourable payment terms, all at the push of a button. The company leverages the power of technology to level the playing field for small retailers. Its ambitious and diverse team builds innovative solutions, addressing major pain points around supply chain and financial services to keep its retailers competitive in today's digital age.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12190,$10M to $50M,Active,For Profit,,,,,1.0,,,,,1.0,,,,,,2021-11-16,23000000.0,USD,23000000.0,Series B,23000000.0,USD,23000000.0,Series B,140500000.0,USD,140500000.0,140500000.0,USD,140500000.0,5.0,"B Capital, Quona Capital, Peak XV Partners, Tencent, Alter Global",6.0,23.0,,,Private,,,,,,,,,,,,,"9,540",11.0,"Engineering, Finance, Information Technology, Legal, Management, Operations",9.0,
Bang Jamin,https://www.crunchbase.com/organization/bang-jamin,"Artificial Intelligence (AI), Insurance","Jakarta, Jakarta Raya, Indonesia",Bang Jamin offers all-encompassing services and an AI-powered insurance buying and claims process.,"8,887","Artificial Intelligence (AI), Data and Analytics, Financial Services, Science and Engineering, Software",1-10,Seed,"Indra Baruna, Serano Tannason",2022-01-01,year,,,,,https://bangjamin.com/,,,https://www.linkedin.com/company/bang-jamin/,,,Bang Jamin offers all-encompassing services and an AI-powered insurance buying and claims process.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2025-04-09,4000000.0,USD,4000000.0,Seed,4000000.0,USD,4000000.0,Seed,4000000.0,USD,4000000.0,4000000.0,USD,4000000.0,2.0,"Northstar Group, BRI Ventures, Venturra, SBI Ven Capital, Braxton Capital",2.0,5.0,,,Private,,,,,,,,,,,,,"10,224",3.0,,,
AgriAku,https://www.crunchbase.com/organization/agriaku,"Agriculture, AgTech, B2B, Farming","Jakarta, Jakarta Raya, Indonesia","AgriAku is a technology-based local agribusiness company that acts as a distribution bridge for farmers, partners, and producers.","8,901","Agriculture and Farming, Other",101-250,,"Danny Handoko, Irvan Kolonas",2021-05-01,month,,,,,https://agriaku.com,,https://www.facebook.com/agriaku,https://www.linkedin.com/company/agriaku,Edwardsarnold05@gmail.com,+62 811-1461-214,"AgriAku is a technology-based local agribusiness company that enables traders and farm shop owners to get agriculture production facilities at affordable prices through its apps - Agroaku Mitra app, and Agroaku Hub app. The company also offers full-stack agriculture services for small and medium-sized businesses and farmers.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",11470,$10M to $50M,Active,For Profit,,,,,,,,,,,,,,,,2024-01-01,,,,Venture - Series Unknown,,,,Venture - Series Unknown,46000000.0,USD,46000000.0,46000000.0,USD,46000000.0,5.0,"TNB Aura, InnoVen Capital, Alpha JWC Ventures, Argor Capital, MDI Ventures",4.0,17.0,,,Private,,,,,,,,,,,,,"10,240",8.0,"Engineering, Finance, Human Resources, Management, Operations, Sales, Support",,
Amartha,https://www.crunchbase.com/organization/amartha,"Financial Services, FinTech, Lending, Mobile Apps","Jakarta, Jakarta Raya, Indonesia",Amartha is a microfinance technology platform that connects micro and SME business partners with investors.,"9,017","Apps, Financial Services, Mobile, Software",5001-10000,,Andi Taufan Garuda Putra,2010-01-01,year,,,,,https://amartha.com,https://www.twitter.com/amarthaid,https://www.facebook.com/amarthaid,https://www.linkedin.com/company/amartha,support@amartha.com,+62 21 2271 5353,Amartha is a financial technology company that connects micro and SME business partners with investors.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",12560,$10M to $50M,Active,For Profit,,,,,1.0,,,,,1.0,,,,,,2024-06-18,17500000.0,USD,17500000.0,Venture - Series Unknown,17500000.0,USD,17500000.0,Venture - Series Unknown,71000000.0,USD,71000000.0,376344303.0,USD,376344303.0,9.0,"International Finance Corporation, Lendable, UOB Venture, MDI Ventures, Accion",9.0,16.0,2.0,Made Acquisitions,Private,,,,,,,,,,,,,"10,370",10.0,"Engineering, Legal, Management, Marketing, Product",28.0,
JULO,https://www.crunchbase.com/organization/julo-2,"Consumer Lending, Credit, Finance, Financial Services, FinTech, Lending","Jakarta, Jakarta Raya, Indonesia","JULO is a digital lending company that provides affordable, unsecured personal loans for consumers.","9,047","Financial Services, Lending and Investments",501-1000,,"Adrianus Hitijahubessy, Hans Sebastian, Victor Darmadi",2016-01-01,year,,,,,https://www.julo.co.id,https://twitter.com/juloindonesia,https://www.facebook.com/JULOIndonesia,https://www.linkedin.com/company/juloindonesia,cs@julo.co.id,+6282211127334,JULO provides affordable unsecured personal loan (KTA) exclusively to smartphone users.They  strive to provide low cost loan product to the masses while ensuring that it's economically viable to their lender partners. This is achieved by exercising prudent underwriting assessments to ensure that approved applicants are both able and willing to pay back.They also reward positive behavior by giving cashback bonus and allowing good customers to borrow a higher amount at lower interest rate at loan maturity.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,$1M to $10M,Active,For Profit,,,,,,,,,,,,,,,,2022-04-13,50000000.0,USD,50000000.0,Debt Financing,30000000.0,USD,30000000.0,Corporate Round,105000000.0,USD,105000000.0,155000000.0,USD,155000000.0,6.0,"Quona Capital, East Ventures, Gobi Partners, MDI Ventures, AC Ventures",4.0,14.0,,,Private,,,,,,,,,,,,,"10,401",14.0,"Engineering, Management, Operations",17.0,
Klinik Pintar,https://www.crunchbase.com/organization/klinik-pintar,"Fitness, Health Care, Information Technology, Wellness","Kebayoran Baru, Jakarta Raya, Indonesia",Klinik Pintar is a health-tech that provides consultation solutions for patients in collaboration with clinics through digital technology.,"9,844","Health Care, Information Technology, Sports",51-100,Early Stage Venture,Harya Bimo,2018-01-01,year,,,,,https://klinikpintar.id,https://twitter.com/klinikpintaridi,https://www.facebook.com/klinikpintarid,https://www.linkedin.com/company/klinikpintar,hello@klinikpintar.id,+62 811 841 335,IDI Smart Clinic is a digital clinic network in collaboration with Smart Clinic and PB IDI. Klinik Pintar is a health tech that serves as an operational partner for clinics in optimizing services to patients.,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,Active,For Profit,,,,,,,,,,,,,,,,2023-12-11,5000000.0,USD,5000000.0,Series A,5000000.0,USD,5000000.0,Series A,9100000.0,USD,9100000.0,9100000.0,USD,9100000.0,4.0,"Golden Gate Ventures, Altara Ventures, Venturra, Venturra Discovery, Skystar Capital",5.0,9.0,,,Private,,,,,,,,,,,,,"11,267",9.0,"Engineering, Finance, Information Technology, Management, Operations, Pro Services, Product",,
Ajaib,https://www.crunchbase.com/organization/ajaib,"Finance, Financial Services, FinTech, Trading Platform","Jakarta, Jakarta Raya, Indonesia",Ajaib is a Financial Application offering their services in Indonesia.,"10,463","Financial Services, Lending and Investments",251-500,Early Stage Venture,"Anderson Sumarli, Yada Piyajomkwan",2019-01-01,year,,,,,https://www.ajaib.co.id,https://twitter.com/ajaib_investasi,https://www.facebook.com/ajaib.investasi,https://www.linkedin.com/company/ajaib-id,info@ajaib.co.id,+62 21 39502270,"Ajaib is a financial super app that allows Indonesians to buy and sell stocks, ETFs, and mutual funds. The company is committed to opening the door to access investment instruments that are safe, trusted, and affordable. Its stock and mutual fund services can be accessed online, by all walks of life. The company was founded in 2019 and is headquartered in Jakarta,  Indonesia.","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",11470,$10M to $50M,Active,For Profit,Unicorn,,,,,,,,,,,,,,,2021-10-04,2200000000000.0,IDR,154193899.0,Series B,2200000000000.0,IDR,154193899.0,Series B,246293899.0,USD,246293899.0,246293899.0,USD,246293899.0,5.0,"Y Combinator, IVP, ICONIQ Growth, Insignia Ventures Partners, Ribbit Capital",6.0,14.0,,,Private,,,,,,,,,,,,,"11,951",3.0,Engineering,18.0,
