Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Facebook,Twitter,Company Type,Actively Hiring,Industry Groups,Number of Employees,Top 5 Investors,Number of Funding Rounds,Funding Status
Fore Coffee,https://www.crunchbase.com/organization/fore-coffee,,"Coffee, Food and Beverage, Retail","Jakarta Pusat, Jakarta Raya, Indonesia",Fore Coffee is a coffee company that sells coffee and beans.,"7,721",https://fore.coffee,https://www.linkedin.com/company/fore-coffee,https://www.facebook.com/fore.coffee,https://twitter.com/forecoffeeid,For Profit,,"Commerce and Shopping, Food and Beverage",101-250,"East Ventures, Pavilion Capital, Insignia Ventures Partners, AC Ventures, Agaeti Venture Capital",3,
GajiGesa,https://www.crunchbase.com/organization/gajigesa,,"Employee Benefits, Finance, Financial Services, FinTech, Personal Finance, Software","Jakarta, Jakarta Raya, Indonesia",GajiGesa is a financial wellness platform helping Indonesians achieve financial dignity and security from their work.,"8,928",https://gajigesa.com/,https://www.linkedin.com/company/gajigesa/,https://www.facebook.com/Gaji-Gesa-107390441073927/,,For Profit,,"Administrative Services, Financial Services, Health Care, Software",51-100,"Defy.vc, Wagestream, January Capital, MMV Europe & Asia-Pacific, Oliver Jung",4,M&A
Ajaib,https://www.crunchbase.com/organization/ajaib,,"Finance, Financial Services, FinTech, Trading Platform","Jakarta, Jakarta Raya, Indonesia",Ajaib is a Financial Application offering their services in Indonesia.,"9,381",https://www.ajaib.co.id,https://www.linkedin.com/company/ajaib-id,https://www.facebook.com/ajaib.investasi,https://twitter.com/ajaib_investasi,For Profit,,"Financial Services, Lending and Investments",251-500,"Y Combinator, ICONIQ Growth, IVP, Alpha JWC Ventures, Ribbit Capital",5,Early Stage Venture
Mekari,https://www.crunchbase.com/organization/mekari,,"B2B, Business Development, Business Intelligence, SaaS, Software","Jakarta Pusat, Jakarta Raya, Indonesia","Mekari is a SaaS company that offers cloud-based, business automation technology to support the development of various businesses.","9,807",https://mekari.com/,https://www.linkedin.com/company/mekari/,https://www.facebook.com/mekaricom/,https://twitter.com/mekaricom,For Profit,,"Data and Analytics, Other, Professional Services, Software",1001-5000,"East Ventures, BEENEXT, EV Growth, Mandiri Capital Indonesia (MCI), Money Forward",4,Late Stage Venture
Halodoc,https://www.crunchbase.com/organization/halodoc,,"Health Care, InsurTech, Medical, Mobile Apps, Pharmaceutical","Jakarta, Jakarta Raya, Indonesia","Halodoc is a health-tech platform that connects patients with doctors, insurance, labs, and pharmacies.","9,852",https://www.halodoc.com/,https://www.linkedin.com/company/m-health-tech,https://www.facebook.com/HalodocID,https://twitter.com/halodocID,For Profit,,"Apps, Financial Services, Health Care, Mobile, Software",501-1000,"Temasek Holdings, Bill & Melinda Gates Foundation, Novo Holdings, Korea Investment Partners, Argor Capital",7,Late Stage Venture
Vidio,https://www.crunchbase.com/organization/vidio,,"Media and Entertainment, Video, Video Streaming","Dki Jakarta, Jakarta Raya, Indonesia","Vidio is an OTT video platform that allows users to upload, watch, and share videos.","9,935",https://www.vidio.com,https://www.linkedin.com/company/vidio-dot-com,https://www.facebook.com/vidiodotcom,https://www.twitter.com/vidiodotcom,For Profit,,"Content and Publishing, Media and Entertainment, Video",501-1000,"Grab, Affinity Equity Partners, Dian Swastatika Sentosa, Bali United Football Club, PT Ekonomi Baru Investasi Teknologi",2,Private Equity
Pluang,https://www.crunchbase.com/organization/pluang,,"Financial Services, FinTech, Impact Investing","Jakarta, Jakarta Raya, Indonesia",Pluang is a financial technology application that specializes in digital micro-savings and micro-investment products.,"10,416",https://pluang.com/,https://www.linkedin.com/company/pluang/,https://www.facebook.com/pluang.id,https://twitter.com/pluang_id,For Profit,,"Financial Services, Lending and Investments",251-500,"Accel, UOB Venture, Gold House Ventures, Argor Capital, Openspace",4,Early Stage Venture
Amartha,https://www.crunchbase.com/organization/amartha,,"Financial Services, FinTech, Lending, Mobile Apps","Jakarta, Jakarta Raya, Indonesia",Amartha is a microfinance technology platform that connects micro and SME business partners with investors.,"10,442",https://amartha.com,https://www.linkedin.com/company/amartha,https://www.facebook.com/amarthaid,https://www.twitter.com/amarthaid,For Profit,,"Apps, Financial Services, Mobile, Software",5001-10000,"International Finance Corporation, Lendable, MDI Ventures, BEENEXT, UOB Venture",9,
DANA,https://www.crunchbase.com/organization/dana-wallet-indonesia,,"Finance, Financial Services, FinTech, InsurTech, Mobile Apps, Payments","Jakarta, Jakarta Raya, Indonesia",DANA is a payment service platform that offers financial services.,"10,867",https://www.dana.id,https://www.linkedin.com/company/dana-indonesia/,https://www.facebook.com/danawallet,https://twitter.com/danawallet,For Profit,,"Apps, Financial Services, Mobile, Payments, Software",501-1000,"Lazada Group, Endeavor Indonesia, Living Lab Ventures",3,Early Stage Venture
Sociolla,https://www.crunchbase.com/organization/sociolla,,"Beauty, Cosmetics, E-Commerce, Lifestyle","Jakarta, Jakarta Raya, Indonesia",Sociolla is an Indonesian online services provider for the beauty and personal care industry.,"11,270",http://www.sociolla.com/,https://www.linkedin.com/company/sociolla,https://www.facebook.com/sociolla/info/?tab=page_info,https://twitter.com/sociolla_id,For Profit,,"Commerce and Shopping, Community and Lifestyle, Consumer Goods",101-250,"Temasek Holdings, East Ventures, L Catterton, Pavilion Capital, Jungle Ventures",8,Late Stage Venture
Alodokter,https://www.crunchbase.com/organization/alodokter,,"Health Care, Internet, Medical, Wellness","Jakarta, Jakarta Raya, Indonesia","Alodokter is a digital health platform that provides an end-to-end digital solution to patients including telemedicine, doctors, and others.","11,349",http://alodokter.com,https://www.linkedin.com/company/alodokter/,https://www.facebook.com/alodokter,https://twitter.com/alodokter,For Profit,,"Health Care, Internet Services",251-500,"500 Global, Golden Gate Ventures, Pegasus Tech Ventures, MDI Ventures, SBVA",9,Late Stage Venture
Ula,https://www.crunchbase.com/organization/ula,,"Apps, B2B, E-Commerce, Marketplace","Jakarta, Jakarta Raya, Indonesia",Ula is a wholesale e-commerce marketplace that provides working capital and inventory sourcing for small business owners,"11,979",https://ula.app/,https://www.linkedin.com/company/uladotapp/,https://www.facebook.com/uladotapp/,https://twitter.com/UlaApp_ID,For Profit,,"Apps, Commerce and Shopping, Other, Software",251-500,"B Capital, Quona Capital, Peak XV Partners, Lightspeed India Partners, Tencent",5,Early Stage Venture
Investree,https://www.crunchbase.com/organization/investree,,"B2B, Financial Services, FinTech, Lending, Marketplace","Jakarta, Jakarta Raya, Indonesia",Investree is a financial technology company that provides a B2B marketplace lending platform for SMEs.,"12,292",https://www.investree.id,https://www.linkedin.com/company/investree?trk=top_nav_home,https://www.facebook.com/investree.id,,For Profit,,"Commerce and Shopping, Financial Services, Other",101-250,"Endeavor Catalyst, Bossa Invest, responsAbility Investments, Accial Capital, BRI Ventures",7,Late Stage Venture
Shipper,https://www.crunchbase.com/organization/shipper-35b4,,"Delivery, Internet, Logistics, Supply Chain Management","Jakarta, Jakarta Raya, Indonesia",Shipper is a logistics platform that helps freight forwarders deliver goods easily.,"12,388",https://shipper.id,https://www.linkedin.com/company/shipper-indonesia/?originalSubdomain=ph,https://www.facebook.com/shipperID,https://twitter.com/ShipperID,For Profit,,"Administrative Services, Internet Services, Transportation",251-500,"Y Combinator, Lightspeed Venture Partners, Endeavor Catalyst, Bossa Invest, Floodgate",6,Late Stage Venture
Gojek,https://www.crunchbase.com/organization/go-jek,,"Consumer Applications, Food Delivery, Logistics, Payments, Transportation","Jakarta, Jakarta Raya, Indonesia","Gojek is a digital technology platform that offers a wide range of services including transportation, food delivery, logistics, and payment.","12,544",https://www.gojek.io,https://www.linkedin.com/showcase/gojek-gotogroup/,https://www.facebook.com/gojektech,https://x.com/gojektech,For Profit,,"Apps, Financial Services, Food and Beverage, Payments, Software, Transportation",1001-5000,"Temasek Holdings, Warburg Pincus, Google, Golden Gate Ventures, PayPal",13,
Bukalapak,https://www.crunchbase.com/organization/bukalapak,,"E-Commerce, E-Commerce Platforms, Internet, Online Portals","Jakarta, Jakarta Raya, Indonesia",Bukalapak provides an e-commerce shopping platform providing transaction support for buyers and sellers.,"12,974",http://bukalapak.com/,https://www.linkedin.com/company/pt-bukalapak-com/,http://www.facebook.com/bukalapak/,http://twitter.com/bukalapak,For Profit,,"Commerce and Shopping, Internet Services",1001-5000,"500 Global, Endeavor Catalyst, Microsoft, Bossa Invest, Standard Chartered Bank",15,IPO
Demuzo,https://www.crunchbase.com/organization/demuzo,,"Audio Recording and Production, Digital Entertainment, Intellectual Property, Media and Entertainment, Music, Music Label","Kuta, Bali, Indonesia",Demuzo is a digital marketplace where individuals can buy shares of music copyrights.,"13,102",https://demuzo.com,https://www.linkedin.com/company/demuzo,,http://twitter.com/demuzo_,For Profit,,"Media and Entertainment, Music and Audio, Professional Services",1-10,"Oleg Semenov, Evgenii Dar, Maksim Ovtin",3,Seed
Akseleran,https://www.crunchbase.com/organization/akseleran,,"Crowdfunding, Financial Services, FinTech, Lending, Peer to Peer, Venture Capital","Jakarta, Jakarta Raya, Indonesia",Akseleran is a peer-to-peer lending platform.,"13,106",https://www.akseleran.co.id/,https://www.linkedin.com/company/akseleran/,https://www.facebook.com/akseleran,https://twitter.com/akseleran,For Profit,,"Financial Services, Lending and Investments, Other",101-250,"BEENEXT, AC Ventures, Access Ventures, Central Capital Ventura, Agaeti Venture Capital",1,Early Stage Venture
CROWDE,https://www.crunchbase.com/organization/crowde,,"Agriculture, AgTech, Financial Services, FinTech, Social Entrepreneurship","Jakarta, Jakarta Raya, Indonesia",Agriculture and financial technology company that empowers farmers across Indonesia with technology and access to capital,"13,492",https://crowde.co,https://www.linkedin.com/company/13321661/,https://www.facebook.com/crowdeplatform/,https://www.twitter.com/temancrowde,For Profit,,"Agriculture and Farming, Community and Lifestyle, Financial Services, Social Impact",51-100,"Monk’s Hill Ventures, STRIVE, Mandiri Capital Indonesia (MCI), GREE Ventures, Endeavor Indonesia",4,Early Stage Venture
Aruna,https://www.crunchbase.com/organization/aruna,,"AgTech, Communities, Seafood","Jakarta, Jakarta Raya, Indonesia","Aruna is an aquatech startup that offers integrated fishery platform, connecting local fishermen to broader markets.","13,630",http://aruna.id,https://id.linkedin.com/company/aruna-indonesia,https://web.facebook.com/arunaindonesia,,For Profit,,"Agriculture and Farming, Community and Lifestyle, Food and Beverage",101-250,"Vertex Ventures, Endeavor Catalyst, Bossa Invest, East Ventures, Vertex Ventures Southeast Asia & India",8,Early Stage Venture
Chickin,https://www.crunchbase.com/organization/chickin,,"Farming, Livestock, Meat and Poultry","Jakarta, Jakarta Raya, Indonesia","Chickin is an ag-tech company that helps broiler chicken farmers with livestock monitoring, cage management, and optimized climate control.","14,128",https://chickin.id,https://www.linkedin.com/company/chick-in,https://www.facebook.com/chickinindonesia,,For Profit,,"Agriculture and Farming, Food and Beverage",101-250,"Asian Development Bank, 500 Global, East Ventures, Integra Partners, 500 Southeast Asia",6,Early Stage Venture
Beleaf,https://www.crunchbase.com/organization/beleaf-9f4f,,"Agriculture, Farming, Hydroponics","Bogor, Jawa Barat, Indonesia","Beleaf is currently located in Bogor, Indonesia, and operates as a hydroponic farm.","14,321",http://www.beleaf.co.id,https://www.linkedin.com/company/beleaf-farms-indonesia,https://www.facebook.com/beleaffarms,,For Profit,,Agriculture and Farming,11-50,"Alpha JWC Ventures, Global Brain Corporation, Openspace, BRI Ventures, ARISE",3,Early Stage Venture
waresix,https://www.crunchbase.com/organization/waresix,,"E-Commerce, Freight Service, Logistics, Supply Chain Management, Transportation, Warehousing","Jakarta, Jakarta Raya, Indonesia","Waresix is a logistics platform for freight-forwarding, warehouse, and land transportation.","14,614",https://waresix.com/,https://www.linkedin.com/company/waresix/,https://www.facebook.com/WARESIXcom-1928129517225998/,,For Profit,,"Commerce and Shopping, Transportation",251-500,"Temasek Holdings, Tiger Global Management, Bossa Invest, East Ventures, Jungle Ventures",9,Early Stage Venture
BitcoinAs,https://www.crunchbase.com/organization/bitcoinas,,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, Foreign Exchange Trading","Bandar Lampung, Lampung, Indonesia","BitcoinAs is an educational web center, on how to, tutorials on forex trading, cryptocurenccy and much more","14,940",https://bitcoinas.org,https://id.linkedin.com/bitcoinas,https://m.facebook.com/bitcoinas,https://m.twitter.com/bitcoinas,For Profit,,"Blockchain and Cryptocurrency, Financial Services, Other, Payments, Software",51-100,Crypto.Holdings,1,Seed
Honest,https://www.crunchbase.com/organization/honestbank,,"Apps, Banking, Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",Honest builds financial products that people love.,"15,003",https://honestbank.com/,https://www.linkedin.com/company/honestbank/,https://www.facebook.com/indohonest/,,For Profit,,"Apps, Financial Services, Lending and Investments, Software",101-250,"Alumni Ventures, Goodwater Capital, Village Global, XYZ Venture Capital, Insignia Ventures Partners",7,Early Stage Venture
SkorLife,https://www.crunchbase.com/organization/skorlife-9485,,"Financial Services, FinTech","Jakarta, Jakarta Raya, Indonesia",SkorLife Platforms provides credit history or credit score.,"15,162",https://skorlife.com/en,https://www.linkedin.com/company/skorlife,https://www.facebook.com/Skorlife-103382485740759,https://twitter.com/SkorLifeID,For Profit,,Financial Services,1-10,"QED Investors, Hummingbird Ventures, Digital Currency Group, Saison Capital, Argor Capital",4,Seed
Pinhome,https://www.crunchbase.com/organization/pinhome,,"FinTech, Property Management, Real Estate","Jakarta, Jakarta Raya, Indonesia",Pinhome is a property transaction and real estate fintech platform making property and home financing more accessible.,"15,212",https://www.pinhome.id,https://www.linkedin.com/company/pinhomeid,https://www.facebook.com/pinhome.indonesia,https://twitter.com/pinhome_id,For Profit,,"Financial Services, Real Estate",251-500,"Goodwater Capital, Ribbit Capital, Insignia Ventures Partners, Intudo Ventures, Eurazeo",6,Early Stage Venture
Kargo Technologies,https://www.crunchbase.com/organization/kargo-technologies,,"E-Commerce Platforms, Freight Service, Logistics, Marketplace, Software, Transportation","Jakarta, Jakarta Raya, Indonesia","Kargo Technologies is a full-stack logistics platform, connecting shippers with truckers.","15,543",https://kargo.tech,https://www.linkedin.com/company/kargotech,https://www.facebook.com/kargotechno,https://twitter.com/kargo_techno,For Profit,,"Commerce and Shopping, Internet Services, Software, Transportation",51-100,"Peak XV Partners, InnoVen Capital, Intudo Ventures, January Capital, Alter Global",6,Early Stage Venture
Evermos,https://www.crunchbase.com/organization/evermos,,"Consumer Goods, E-Commerce, Social Impact, Social Shopping, Trading Platform","Bandung, Jawa Barat, Indonesia",Evermos is a social commerce startup that connects resellers-to-brands to consumers via platform to sell everyday Muslim products.,"15,732",https://www.evermos.com,https://www.linkedin.com/company/evermos,http://facebook.com/evermos.id,https://www.twitter.com/evermos_id,For Profit,,"Commerce and Shopping, Consumer Goods, Financial Services, Lending and Investments, Other, Social Impact",501-1000,"International Finance Corporation, Endeavor Catalyst, Alpha JWC Ventures, Jungle Ventures, UOB Venture",7,
Sayurbox,https://www.crunchbase.com/organization/sayurbox,,"Agriculture, E-Commerce, Farming, Logistics, Shopping","Jakarta, Jakarta Raya, Indonesia","Sayurbox is an online shopping platform that offers fresh local vegetables, fruits, and meat for a healthy lifestyle.","15,890",https://www.sayurbox.com,https://www.linkedin.com/company/sayurboxofficial,https://www.facebook.com/sayurbox,https://twitter.com/sayurbox,For Profit,,"Agriculture and Farming, Commerce and Shopping, Transportation",501-1000,"International Finance Corporation, Alpha JWC Ventures, Global Brain Corporation, Northstar Group, BRI Ventures",6,Late Stage Venture
Bio Farma,https://www.crunchbase.com/organization/bio-farma,,"Biotechnology, Health Care","Bandung, Jawa Barat, Indonesia",BIO FARMA adalah perusahaan milik negara yang mengkhususkan kegiatan bisnisnya dalam memproduksi vaksin dan sera.,"16,276",http://www.biofarma.co.id/,https://www.linkedin.com/company/bio-farma---indonesia,https://www.facebook.com/infoimunisasi,https://twitter.com/biofarmaid,For Profit,,"Biotechnology, Health Care, Science and Engineering",501-1000,Asian Development Bank,1,
Superbank,https://www.crunchbase.com/organization/superbank,,"Banking, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia","Superbank is a commercial bank providing simple, transparent, and flexible digital financial solutions.","16,424",https://www.superbank.id,https://www.linkedin.com/company/superbankid,,,,,"Financial Services, Lending and Investments",251-500,"Grab, Singtel, Kakaobank",3,
Broom,https://www.crunchbase.com/organization/broom-bc45,,"Automotive, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",Broom provides access for dealers in automotives to get short-term loans by putting their car inventories up as collateral.,"16,444",https://broom.id/,https://www.linkedin.com/company/broom-id/,,https://twitter.com/broom_id,For Profit,,"Financial Services, Transportation",101-250,"Quona Capital, Funding Societies, ALAMI, Helicap, Openspace",8,Early Stage Venture
Aria,https://www.crunchbase.com/organization/aria-2b9a,,"Agriculture, AgTech","Jakarta, Jakarta Raya, Indonesia",Aria provides solutions for the agriculture sector & other services.,"16,490",https://www.hiaria.id/,https://www.linkedin.com/company/hiaria,,,For Profit,,Agriculture and Farming,101-250,"East Ventures, waresix, GK-Plug and Play Indonesia, Arkana Ventures, Triputra Group",2,Seed
Deliveree Logistics,https://www.crunchbase.com/organization/deliveree,,"Delivery, Fleet Management, Logistics, Shipping","Jakarta, Jakarta Raya, Indonesia","Southeast Asia's leading road cargo logistics platform for booking FTL & LTL cargo transport. Operates in Indonesia, Philippines, Thailand.","16,517",https://www.deliveree.com/,https://www.linkedin.com/company/deliveree-on-demand-logistics-southeast-asia/,https://www.facebook.com/DelivereeID/,https://twitter.com/delivereeid,For Profit,,"Administrative Services, Transportation",251-500,"Gobi Partners, Genesis Alternative Ventures, PSA Unboxed, SPIL Ventures, Ardent Capital",6,Late Stage Venture
Moladin,https://www.crunchbase.com/organization/moladin,,"Automotive, E-Commerce, E-Commerce Platforms, Marketplace","Jakarta, Jakarta Raya, Indonesia",#1 Marketplace for the best used cars,"17,046",https://moladin.com/,https://www.linkedin.com/company/moladin/,https://www.facebook.com/Moladincom/,,For Profit,,"Commerce and Shopping, Internet Services, Transportation",1001-5000,"Sequoia Capital, Peak XV Partners, East Ventures, DST Global, Northstar Group",5,Early Stage Venture
TBS Energi Utama,https://www.crunchbase.com/organization/tbs-energi-utama,,"Energy, Renewable Energy","Jakarta, Jakarta Raya, Indonesia",TBS Energi Utama is an integrated energy company with a growing focus on developing clean and renewable energy.,"17,088",https://www.tbsenergi.com/,https://www.linkedin.com/company/tbs-energi-utama/,https://www.facebook.com/tbsenergiutama/,,For Profit,,"Energy, Sustainability",501-1000,"Asian Development Bank, PT Bank DBS Indonesia",1,
AwanTunai,https://www.crunchbase.com/organization/awantunai,,"Financial Services, FinTech, Payments, Supply Chain Management","Jakarta, Jakarta Raya, Indonesia",AwanTunai is a fintech startup that offers access to loans and working capital to micro-retail merchants.,"17,306",https://www.awantunai.co.id,https://www.linkedin.com/company/13319051,https://www.facebook.com/awantunai.id,,For Profit,,"Financial Services, Payments, Transportation",101-250,"International Finance Corporation, HSBC, Global Brain Corporation, Insignia Ventures Partners, Finnfund",9,Early Stage Venture
Bank Negara Indonesia,https://www.crunchbase.com/organization/bank-negara-indonesia,,"Banking, Finance, Financial Services","Jakarta, Jakarta Raya, Indonesia",BNI offers integrated financial services to its customers.,"17,373",http://www.bni.co.id/,https://www.linkedin.com/company/pt.-bank-negara-indonesia-persero-tbk.,http://www.facebook.com/bni,https://twitter.com/bni46,For Profit,,"Financial Services, Lending and Investments",10001+,,1,IPO
VIDA,https://www.crunchbase.com/organization/vida-b138,,"Compliance, Information Technology, Security, Software","Jakarta, Jakarta Raya, Indonesia",VIDA is an IT company that develops customized digital platforms to enhance compliance and security services.,"17,671",https://www.vida.id,https://www.linkedin.com/company/vidadigitalid/,https://www.facebook.com/vidadigitalid/?_rdc=1&_rdr,https://twitter.com/vidadigitalid,For Profit,,"Information Technology, Privacy and Security, Professional Services, Software",101-250,"Endeavor Catalyst, Alpha JWC Ventures, Bossa Invest, DST Global, Monk’s Hill Ventures",6,Early Stage Venture
Maka Motors,https://www.crunchbase.com/organization/maka-motors,,"Automotive, Electric Vehicle, Travel","Yogyakarta, Yogyakarta, Indonesia",MAKA is dedicated to building the best electric motorcycles for Indonesian riders.,"18,987",https://www.maka-motors.com/,,,,For Profit,,"Transportation, Travel and Tourism",101-250,"Peak XV Partners, East Ventures, Northstar Group, M Venture Partners (MVP), BEENEXT",2,Seed
Ralali,https://www.crunchbase.com/organization/ralali,,"E-Commerce, Marketplace, Retail, Shopping","Tangerang, Jawa Barat, Indonesia",Ralali is an online B2B marketplace for local trade connecting sellers and buyers.,"20,538",https://www.ralali.com,http://www.linkedin.com/company/ralali-com,https://www.facebook.com/ralalicom,https://x.com/ralalicom,For Profit,,Commerce and Shopping,101-250,"TNB Aura, East Ventures, CyberAgent Capital, Qualgro VC, Arbor Ventures",6,Late Stage Venture
Xurya,https://www.crunchbase.com/organization/xurya,,"Environmental Consulting, Environmental Engineering, Peer to Peer, Renewable Energy, Solar","Jakarta, Jakarta Raya, Indonesia",Pioneer in the solar lease business. Giving Indonesian businesses a chance to contribute to the solution climate change while saving money,"20,635",https://www.xurya.com/,https://www.linkedin.com/company/xurya,https://www.facebook.com/energixurya,,For Profit,,"Energy, Natural Resources, Other, Professional Services, Science and Engineering, Sustainability",51-100,"East Ventures, Schneider Electric, Clime Capital, AC Ventures, British International Investment",7,
Cakap,https://www.crunchbase.com/organization/squline,,"Apps, E-Learning, EdTech, Education","Jakarta, Jakarta Raya, Indonesia",Cakap is an upskilling platform that enables 2-way learning interactions between students and professional teachers.,"21,019",http://www.cakap.com,https://www.linkedin.com/company/cakap,http://www.facebook.com/cakapcom,http://twitter.com/cakapcom,For Profit,,"Apps, Education, Software",251-500,"MDI Ventures, Mandiri Capital Indonesia (MCI), Heritas Capital, Centauri Fund, KB Investment",7,Late Stage Venture
Hangry,https://www.crunchbase.com/organization/hangry-688e,,"Delivery Service, Food and Beverage, Food Delivery, Restaurants","Jakarta, Jakarta Raya, Indonesia",Hangry is a multi-brand virtual restaurant company that focuses on food delivery in Jakarta.,"21,368",https://ishangry.com/,https://in.linkedin.com/company/wearehangry,https://www.facebook.com/pg/Hangry-Career-112950770136641/,,For Profit,,"Food and Beverage, Transportation",1001-5000,"500 Global, Alpha JWC Ventures, InnoVen Capital, Genesis Alternative Ventures, Surge",4,Early Stage Venture
Brankas,https://www.crunchbase.com/organization/brankas,,"Financial Services, FinTech, Internet, Software","Dki Jakarta, Jakarta Raya, Indonesia",Brankas is a fintech company that provides financial software and solutions.,"21,727",https://www.brankas.com,https://www.linkedin.com/company/brankas/,https://www.facebook.com/brankasbetter,https://twitter.com/brankasbetter,For Profit,,"Financial Services, Internet Services, Software",51-100,"Plug and Play, Insignia Ventures Partners, Visa, BEENEXT, Integra Partners",4,Early Stage Venture
